#{"t_start": 1766505806.0046172, "env_id": "None"}
r,l,t
-744232.55957,8064,4.803226
-482078.846658,8064,11.595129
-381199.077636,8064,18.407442
-241352.74621,8064,25.353397
-158732.015434,8064,31.897939
-81204.516917,8064,38.558651
-47781.060076,8064,45.2984
-13754.384719,8064,52.273034
-17154.549365,8064,58.886799
-14510.826985,8064,65.917151
-13522.137199,8064,68.642781
-11379.165999,8064,75.426855
-14185.26269,8064,82.112636
-8495.34323,8064,89.010099
-6820.016957,8064,95.762526
-6797.584249,8064,102.677616
-5068.902568,8064,109.565016
-5134.028102,8064,117.105297
-4142.458097,8064,124.235563
-3511.114888,8064,131.112746
-4329.829361,8064,133.810634
-4190.339422,8064,140.801611
-3147.965835,8064,147.413201
-3173.511512,8064,155.333993
-2930.375459,8064,161.905271
-2670.926391,8064,168.570729
-2425.49061,8064,175.090766
-2278.672042,8064,181.575955
-2223.317749,8064,188.366182
-2037.047188,8064,195.366824
-1947.304036,8064,198.170653
-1817.613291,8064,205.345564
-1592.998615,8064,212.219068
-1726.801829,8064,218.997322
-1316.459629,8064,225.724013
-1423.584044,8064,233.584955
-1391.661925,8064,241.767739
-1550.574596,8064,249.722471
-1594.101492,8064,258.616444
-1257.483424,8064,266.790251
-1063.272006,8064,275.146928
-1279.803015,8064,277.895104
-1199.794856,8064,286.952571
-908.998453,8064,295.868783
